Business Name,Address,Category,Google Maps Link,Website,Rating,Reviews,Phone
Cairo Medical Center,011 56611342,طبيب,https://www.google.com/maps/place/Cairo+Medical+Center/data=!4m7!3m6!1s0x145857295b95cfaf:0x7395d3160b5e2521!8m2!3d29.9556488!4d30.9180314!16s%2Fg%2F11h5rymyrv!19sChIJr8-VWylXWBQRISVeCxbTlXM?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Cairo+Medical+Center/data=!4m7!3m6!1s0x145857295b95cfaf:0x7395d3160b5e2521!8m2!3d29.9556488!4d30.9180314!16s%2Fg%2F11h5rymyrv!19sChIJr8-VWylXWBQRISVeCxbTlXM?authuser=0&hl=ar&rclk=1,4.6,94.0,011 56611342
مركز دكتور روبير جورج للتخسيس وتنسيق القوام Dr.Rober Diet,012 24224272,عيادة طبية,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B1%D9%88%D8%A8%D9%8A%D8%B1+%D8%AC%D9%88%D8%B1%D8%AC+%D9%84%D9%84%D8%AA%D8%AE%D8%B3%D9%8A%D8%B3+%D9%88%D8%AA%D9%86%D8%B3%D9%8A%D9%82+%D8%A7%D9%84%D9%82%D9%88%D8%A7%D9%85+Dr.Rober+Diet%E2%80%AD/data=!4m7!3m6!1s0x1458472572be76a1:0x9c00e4a5fcfcdbf!8m2!3d30.0240728!4d31.226132!16s%2Fg%2F11dfm7dlzz!19sChIJoXa-ciVHWBQRv83PX0oOwAk?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B1%D9%88%D8%A8%D9%8A%D8%B1+%D8%AC%D9%88%D8%B1%D8%AC+%D9%84%D9%84%D8%AA%D8%AE%D8%B3%D9%8A%D8%B3+%D9%88%D8%AA%D9%86%D8%B3%D9%8A%D9%82+%D8%A7%D9%84%D9%82%D9%88%D8%A7%D9%85+Dr.Rober+Diet%E2%80%AD/data=!4m7!3m6!1s0x1458472572be76a1:0x9c00e4a5fcfcdbf!8m2!3d30.0240728!4d31.226132!16s%2Fg%2F11dfm7dlzz!19sChIJoXa-ciVHWBQRv83PX0oOwAk?authuser=0&hl=ar&rclk=1,5.0,108.0,012 24224272
مركز عين العالم لطب وجراحة العيون,012 05566002,مركز عناية بالعيون,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B9%D9%8A%D9%86+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85+%D9%84%D8%B7%D8%A8+%D9%88%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D9%8A%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14584151eab30e23:0x9cdf968ed45da6ad!8m2!3d30.0475!4d31.2464!16s%2Fg%2F11csqf69s3!19sChIJIw6z6lFBWBQRraZd1I6W35w?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B9%D9%8A%D9%86+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85+%D9%84%D8%B7%D8%A8+%D9%88%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D9%8A%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14584151eab30e23:0x9cdf968ed45da6ad!8m2!3d30.0475!4d31.2464!16s%2Fg%2F11csqf69s3!19sChIJIw6z6lFBWBQRraZd1I6W35w?authuser=0&hl=ar&rclk=1,4.6,135.0,012 05566002
The Doctors medical clinic,010 00010663,عيادة طبية,https://www.google.com/maps/place/The+Doctors+medical+clinic/data=!4m7!3m6!1s0x14583f8f68e12c45:0x632441fa9ed7242a!8m2!3d30.055091!4d31.3532639!16s%2Fg%2F11fqcwt2t0!19sChIJRSzhaI8_WBQRKiTXnvpBJGM?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/The+Doctors+medical+clinic/data=!4m7!3m6!1s0x14583f8f68e12c45:0x632441fa9ed7242a!8m2!3d30.055091!4d31.3532639!16s%2Fg%2F11fqcwt2t0!19sChIJRSzhaI8_WBQRKiTXnvpBJGM?authuser=0&hl=ar&rclk=1,4.4,12.0,010 00010663
ElGamal Clinic ( Mohandessin ) الجمل كلينك - جراحة التجميل والجلدية و الليزر و الاسنان و العلاج الطبيعي و التغذية,012 06666199,مركز طبي,https://www.google.com/maps/place/ElGamal+Clinic+%28+Mohandessin+%29+%D8%A7%D9%84%D8%AC%D9%85%D9%84+%D9%83%D9%84%D9%8A%D9%86%D9%83+-+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D9%88%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88+%D8%A7%D9%84%D9%84%D9%8A%D8%B2%D8%B1+%D9%88+%D8%A7%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86+%D9%88+%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%B9%D9%8A+%D9%88+%D8%A7%D9%84%D8%AA%D8%BA%D8%B0%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x145841e7655c09cf:0x476e30ba4d401d61!8m2!3d30.0525247!4d31.2045146!16s%2Fg%2F11qgx9l4k5!19sChIJzwlcZedBWBQRYR1ATbowbkc?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/ElGamal+Clinic+%28+Mohandessin+%29+%D8%A7%D9%84%D8%AC%D9%85%D9%84+%D9%83%D9%84%D9%8A%D9%86%D9%83+-+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D9%88%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88+%D8%A7%D9%84%D9%84%D9%8A%D8%B2%D8%B1+%D9%88+%D8%A7%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86+%D9%88+%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%B9%D9%8A+%D9%88+%D8%A7%D9%84%D8%AA%D8%BA%D8%B0%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x145841e7655c09cf:0x476e30ba4d401d61!8m2!3d30.0525247!4d31.2045146!16s%2Fg%2F11qgx9l4k5!19sChIJzwlcZedBWBQRYR1ATbowbkc?authuser=0&hl=ar&rclk=1,4.7,181.0,012 06666199
Dr. Hassan Hosny,02 27370538,طبيب,https://www.google.com/maps/place/Dr.+Hassan+Hosny/data=!4m7!3m6!1s0x145823f5b587af79:0x1e8a4acf8eb1bee4!8m2!3d30.063425!4d31.2184902!16s%2Fg%2F11gxjsjjjf!19sChIJea-HtfUjWBQR5L6xjs9Kih4?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Dr.+Hassan+Hosny/data=!4m7!3m6!1s0x145823f5b587af79:0x1e8a4acf8eb1bee4!8m2!3d30.063425!4d31.2184902!16s%2Fg%2F11gxjsjjjf!19sChIJea-HtfUjWBQR5L6xjs9Kih4?authuser=0&hl=ar&rclk=1,5.0,1.0,02 27370538
كايرو كلينك,"1 Demashq St, off Syria St",عيادة الخصوبة,https://www.google.com/maps/place/%D9%83%D8%A7%D9%8A%D8%B1%D9%88+%D9%83%D9%84%D9%8A%D9%86%D9%83%E2%80%AD/data=!4m7!3m6!1s0x1458413be80d13b1:0xccdef30578a73ef6!8m2!3d30.055052!4d31.1924608!16s%2Fg%2F1thbgl2l!19sChIJsRMN6DtBWBQR9j6neAXz3sw?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D9%83%D8%A7%D9%8A%D8%B1%D9%88+%D9%83%D9%84%D9%8A%D9%86%D9%83%E2%80%AD/data=!4m7!3m6!1s0x1458413be80d13b1:0xccdef30578a73ef6!8m2!3d30.055052!4d31.1924608!16s%2Fg%2F1thbgl2l!19sChIJsRMN6DtBWBQR9j6neAXz3sw?authuser=0&hl=ar&rclk=1,4.6,70.0,012 22180796
Barsoum Dental Clinic,"Intersection of 26 July Street With Emad El-Deen, Downtown Cairo, 7 26 July St",عِيادة أسنان,https://www.google.com/maps/place/Barsoum+Dental+Clinic/data=!4m7!3m6!1s0x145840e0fd3394a3:0xd65f2e25eaeeff90!8m2!3d30.052678!4d31.244583!16s%2Fg%2F1tr6chgz!19sChIJo5Qz_eBAWBQRkP_u6iUuX9Y?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Barsoum+Dental+Clinic/data=!4m7!3m6!1s0x145840e0fd3394a3:0xd65f2e25eaeeff90!8m2!3d30.052678!4d31.244583!16s%2Fg%2F1tr6chgz!19sChIJo5Qz_eBAWBQRkP_u6iUuX9Y?authuser=0&hl=ar&rclk=1,4.6,73.0,012 21010257
Cairo Neurosurgery Clinics,"35 Kasr Al Ainy Street Downtown Cairo 6th floor , Room 624 Down Town",عيادة طبية,https://www.google.com/maps/place/Cairo+Neurosurgery+Clinics/data=!4m7!3m6!1s0x1458574b7142a367:0x34902dc3bf61a9c4!8m2!3d30.0273657!4d31.2325091!16s%2Fg%2F11fmd970k9!19sChIJZ6NCcUtXWBQRxKlhv8MtkDQ?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Cairo+Neurosurgery+Clinics/data=!4m7!3m6!1s0x1458574b7142a367:0x34902dc3bf61a9c4!8m2!3d30.0273657!4d31.2325091!16s%2Fg%2F11fmd970k9!19sChIJZ6NCcUtXWBQRxKlhv8MtkDQ?authuser=0&hl=ar&rclk=1,,,010 05190755
Doctor Online,010 96906515,عيادة طبية,https://www.google.com/maps/place/Doctor+Online/data=!4m7!3m6!1s0x145841d0849f8809:0x9de8d8927efd3f1f!8m2!3d30.0702528!4d31.2217517!16s%2Fg%2F11qfw2b6tf!19sChIJCYifhNBBWBQRHz_9fpLY6J0?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Doctor+Online/data=!4m7!3m6!1s0x145841d0849f8809:0x9de8d8927efd3f1f!8m2!3d30.0702528!4d31.2217517!16s%2Fg%2F11qfw2b6tf!19sChIJCYifhNBBWBQRHz_9fpLY6J0?authuser=0&hl=ar&rclk=1,5.0,2.0,010 96906515
كايرو كلينك,"1 Demashq St, off Syria St",عيادة الخصوبة,https://www.google.com/maps/place/%D9%83%D8%A7%D9%8A%D8%B1%D9%88+%D9%83%D9%84%D9%8A%D9%86%D9%83%E2%80%AD/data=!4m7!3m6!1s0x1458413be80d13b1:0xccdef30578a73ef6!8m2!3d30.055052!4d31.1924608!16s%2Fg%2F1thbgl2l!19sChIJsRMN6DtBWBQR9j6neAXz3sw?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D9%83%D8%A7%D9%8A%D8%B1%D9%88+%D9%83%D9%84%D9%8A%D9%86%D9%83%E2%80%AD/data=!4m7!3m6!1s0x1458413be80d13b1:0xccdef30578a73ef6!8m2!3d30.055052!4d31.1924608!16s%2Fg%2F1thbgl2l!19sChIJsRMN6DtBWBQR9j6neAXz3sw?authuser=0&hl=ar&rclk=1,4.6,70.0,012 22180796
Inej clinic,"cairo medical center, Clinic 415, level, 4 التسعين الشمالي",عيادة طبية,https://www.google.com/maps/place/Inej+clinic/data=!4m7!3m6!1s0x14582382b8e538ad:0xbbe1629c2613c110!8m2!3d30.0206369!4d31.434266!16s%2Fg%2F11vys1zg44!19sChIJrTjluIIjWBQREMETJpxi4bs?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Inej+clinic/data=!4m7!3m6!1s0x14582382b8e538ad:0xbbe1629c2613c110!8m2!3d30.0206369!4d31.434266!16s%2Fg%2F11vys1zg44!19sChIJrTjluIIjWBQREMETJpxi4bs?authuser=0&hl=ar&rclk=1,5.0,13.0,011 24898400
Medipoint,"5 al Shbab street, Sheikh Zayed City, Cairo, Giza, Eg",عيادة طبية,https://www.google.com/maps/place/Medipoint/data=!4m7!3m6!1s0x14585a179490d125:0x939d618cc5f53a9!8m2!3d30.0310708!4d30.9998026!16s%2Fg%2F1yh9txfr5!19sChIJJdGQlBdaWBQRqVNfzBjWOQk?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Medipoint/data=!4m7!3m6!1s0x14585a179490d125:0x939d618cc5f53a9!8m2!3d30.0310708!4d30.9998026!16s%2Fg%2F1yh9txfr5!19sChIJJdGQlBdaWBQRqVNfzBjWOQk?authuser=0&hl=ar&rclk=1,4.7,26.0,010 20701033
S Clinics Cairo,"Twin Towers, Building C, 4th floor, Clinic N",طبيب أسنان,https://www.google.com/maps/place/S+Clinics+Cairo/data=!4m7!3m6!1s0x14585b4953fc4cfd:0x1262c059d3e9a6f9!8m2!3d30.0244845!4d31.0117559!16s%2Fg%2F11tft30brb!19sChIJ_Uz8U0lbWBQR-abp01nAYhI?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/S+Clinics+Cairo/data=!4m7!3m6!1s0x14585b4953fc4cfd:0x1262c059d3e9a6f9!8m2!3d30.0244845!4d31.0117559!16s%2Fg%2F11tft30brb!19sChIJ_Uz8U0lbWBQR-abp01nAYhI?authuser=0&hl=ar&rclk=1,5.0,134.0,011 17443355
Dr.Amr Essam Dental clinic,Leven square mall,عيادة طبية,https://www.google.com/maps/place/Dr.Amr+Essam+Dental+clinic/data=!4m7!3m6!1s0x14582376c72d3341:0x2da1d474b490c80!8m2!3d30.0459964!4d31.4854917!16s%2Fg%2F11vc52w_fz!19sChIJQTMtx3YjWBQRgAxJS0cd2gI?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Dr.Amr+Essam+Dental+clinic/data=!4m7!3m6!1s0x14582376c72d3341:0x2da1d474b490c80!8m2!3d30.0459964!4d31.4854917!16s%2Fg%2F11vc52w_fz!19sChIJQTMtx3YjWBQRgAxJS0cd2gI?authuser=0&hl=ar&rclk=1,5.0,138.0,010 19350502
Divine- Dr Fady Aziz - New Cairo,2G9H+QP,عِيادة أسنان,https://www.google.com/maps/place/Divine-+Dr+Fady+Aziz+-+New+Cairo/data=!4m7!3m6!1s0x14582300137af791:0xe3e5865421472514!8m2!3d30.0194943!4d31.5292882!16s%2Fg%2F11wc30wn9b!19sChIJkfd6EwAjWBQRFCVHIVSG5eM?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Divine-+Dr+Fady+Aziz+-+New+Cairo/data=!4m7!3m6!1s0x14582300137af791:0xe3e5865421472514!8m2!3d30.0194943!4d31.5292882!16s%2Fg%2F11wc30wn9b!19sChIJkfd6EwAjWBQRFCVHIVSG5eM?authuser=0&hl=ar&rclk=1,5.0,14.0,
Prime Clinics,Maintenance area- katameya heights compound,عيادة طبية,https://www.google.com/maps/place/Prime+Clinics/data=!4m7!3m6!1s0x14583c9e7cd14479:0x48c22f61efd619f1!8m2!3d29.9878672!4d31.417611!16s%2Fg%2F11cmsk3dx6!19sChIJeUTRfJ48WBQR8RnW72Evwkg?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Prime+Clinics/data=!4m7!3m6!1s0x14583c9e7cd14479:0x48c22f61efd619f1!8m2!3d29.9878672!4d31.417611!16s%2Fg%2F11cmsk3dx6!19sChIJeUTRfJ48WBQR8RnW72Evwkg?authuser=0&hl=ar&rclk=1,4.2,175.0,010 01090635
"Dr. Ramy Magdy Clinic, Cardiology & Internal Medicine","Gateway Mall, Building (C-clinics), CS8. Besides El Moktabar Laboratories Besides El Moktabar Laboratories. Rehab City, 2nd New Cairo",عيادة طبية,"https://www.google.com/maps/place/Dr.+Ramy+Magdy+Clinic,+Cardiology+%26+Internal+Medicine/data=!4m7!3m6!1s0x145819d6a058587b:0xfe54a36c614f4e31!8m2!3d30.0652466!4d31.4798986!16s%2Fg%2F11vpy0qp32!19sChIJe1hYoNYZWBQRMU5PYWyjVP4?authuser=0&hl=ar&rclk=1","https://www.google.com/maps/place/Dr.+Ramy+Magdy+Clinic,+Cardiology+%26+Internal+Medicine/data=!4m7!3m6!1s0x145819d6a058587b:0xfe54a36c614f4e31!8m2!3d30.0652466!4d31.4798986!16s%2Fg%2F11vpy0qp32!19sChIJe1hYoNYZWBQRMU5PYWyjVP4?authuser=0&hl=ar&rclk=1",5.0,6.0,012 74976665
